Query ID,Best ID,Search DB,,
ASV_501,Penicillium oxalicum,COI FULL DATABASE (includes records without species designation),98.87,94.35
ASV_502,Cardiocondyla minutior,COI FULL DATABASE (includes records without species designation),100,85.76
ASV_503,Coleoptera,COI FULL DATABASE (includes records without species designation),100,87.95
ASV_504,Hymenoptera,COI FULL DATABASE (includes records without species designation),100,90.94
ASV_505,No match,COI FULL DATABASE (includes records without species designation),,
ASV_506,No match,COI FULL DATABASE (includes records without species designation),,
ASV_507,Diptera,COI FULL DATABASE (includes records without species designation),100,85.65
ASV_508,No match,COI FULL DATABASE (includes records without species designation),,
ASV_509,No match,COI FULL DATABASE (includes records without species designation),,
ASV_510,No match,COI FULL DATABASE (includes records without species designation),,
ASV_511,No match,COI FULL DATABASE (includes records without species designation),,
ASV_512,No match,COI FULL DATABASE (includes records without species designation),,
ASV_513,Psocodea,COI FULL DATABASE (includes records without species designation),100,100
ASV_514,No match,COI FULL DATABASE (includes records without species designation),,
ASV_515,No match,COI FULL DATABASE (includes records without species designation),,
ASV_516,2017,COI FULL DATABASE (includes records without species designation),98.02,86.2
ASV_517,No match,COI FULL DATABASE (includes records without species designation),,
ASV_518,No match,COI FULL DATABASE (includes records without species designation),,
ASV_519,No match,COI FULL DATABASE (includes records without species designation),,
ASV_520,No match,COI FULL DATABASE (includes records without species designation),,
ASV_521,No match,COI FULL DATABASE (includes records without species designation),,
ASV_522,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.59
ASV_523,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,89.95
ASV_524,No match,COI FULL DATABASE (includes records without species designation),,
ASV_525,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,91.09
ASV_526,Wolbachia sp. Anacrusis nephrodes,COI FULL DATABASE (includes records without species designation),99.62,98.86
ASV_527,No match,COI FULL DATABASE (includes records without species designation),,
ASV_528,No match,COI FULL DATABASE (includes records without species designation),,
ASV_529,Neoscona theisi,COI FULL DATABASE (includes records without species designation),98.74,95.6
ASV_530,No match,COI FULL DATABASE (includes records without species designation),,
ASV_531,Nylanderia bourbonica,COI FULL DATABASE (includes records without species designation),100,98.84
ASV_532,No match,COI FULL DATABASE (includes records without species designation),,
ASV_533,No match,COI FULL DATABASE (includes records without species designation),,
ASV_534,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.63,97.09
ASV_535,No match,COI FULL DATABASE (includes records without species designation),,
ASV_536,Neoscona theisi,COI FULL DATABASE (includes records without species designation),98.77,95.68
ASV_537,No match,COI FULL DATABASE (includes records without species designation),,
ASV_538,No match,COI FULL DATABASE (includes records without species designation),,
ASV_539,No match,COI FULL DATABASE (includes records without species designation),,
ASV_540,No match,COI FULL DATABASE (includes records without species designation),,
ASV_541,No match,COI FULL DATABASE (includes records without species designation),,
ASV_542,No match,COI FULL DATABASE (includes records without species designation),,
ASV_543,No match,COI FULL DATABASE (includes records without species designation),,
ASV_544,No match,COI FULL DATABASE (includes records without species designation),,
ASV_545,Dermatophagoides sp. WH_1,COI FULL DATABASE (includes records without species designation),100,87.5
ASV_546,No match,COI FULL DATABASE (includes records without species designation),,
ASV_547,Araneae,COI FULL DATABASE (includes records without species designation),99.33,82.85
ASV_548,No match,COI FULL DATABASE (includes records without species designation),,
ASV_549,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),98.51,89.84
ASV_550,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.11
ASV_551,No match,COI FULL DATABASE (includes records without species designation),,
ASV_552,No match,COI FULL DATABASE (includes records without species designation),,
ASV_553,No match,COI FULL DATABASE (includes records without species designation),,
ASV_554,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.61
ASV_555,No match,COI FULL DATABASE (includes records without species designation),,
ASV_556,No match,COI FULL DATABASE (includes records without species designation),,
ASV_557,Piletocera signiferalis,COI FULL DATABASE (includes records without species designation),99.35,92.23
ASV_558,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.66,96.94
ASV_559,No match,COI FULL DATABASE (includes records without species designation),,
ASV_560,No match,COI FULL DATABASE (includes records without species designation),,
ASV_561,No match,COI FULL DATABASE (includes records without species designation),,
ASV_562,No match,COI FULL DATABASE (includes records without species designation),,
ASV_563,Coleoptera,COI FULL DATABASE (includes records without species designation),99.68,84.79
ASV_564,No match,COI FULL DATABASE (includes records without species designation),,
ASV_565,Diptera,COI FULL DATABASE (includes records without species designation),99.68,85.9
ASV_566,No match,COI FULL DATABASE (includes records without species designation),,
ASV_567,No match,COI FULL DATABASE (includes records without species designation),,
ASV_568,No match,COI FULL DATABASE (includes records without species designation),,
ASV_569,No match,COI FULL DATABASE (includes records without species designation),,
ASV_570,No match,COI FULL DATABASE (includes records without species designation),,
ASV_571,No match,COI FULL DATABASE (includes records without species designation),,
ASV_572,No match,COI FULL DATABASE (includes records without species designation),,