Link ID,Link reference ,Body size reference,Geographic location,General habitat,Specific habitat,Link methodology,Body size methodology,Taxonomy consumer,Lifestage consumer,Common name(s) consumer,Metabolic category consumer,Type of feeding interaction,Minimum length (m) consumer,Mean length (m) consumer,Maximum length (m) consumer,Minimum mass (g) consumer,Mean mass (g) consumer,Maximum mass (g) consumer,Taxonomy resource,taxon_Family,taxon_Order,Lifestage - resource,Common name(s) resource,Metabolic category resource,Minimum length (m) resource,Mean length (m) resource,Maximum length (m) resource,Minimum mass (g) resource,Mean mass (g) resource,Maximum mass (g) resource,Consumer/resource body mass ratio,Notes
2157,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Apanteles fulvipes,-999,Hymenoptera,invertebrate,parasitoid,-999,0.0029,-999,-999,-999,-999,Chesias legatella LEPIDOPTERA,Geometridae,Lepidoptera,-999,"Lepidoptera, moths and butterflies",invertebrate,-999,0.00918,-999,-999,-999,-999,0.048846666,-9.99E+02
2156,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Apanteles vitripennis,-999,Hymenoptera,invertebrate,parasitoid,-999,0.00308,-999,-999,-999,-999,Chesias legatella,Geometridae,Lepidoptera,-999,"Lepidoptera, moths and butterflies",invertebrate,-999,0.00918,-999,-999,-999,-999,0.057194603,-9.99E+02
2143,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Braconid sp,-999,Hymenoptera,invertebrate,parasitoid,-999,0.00424,-999,-999,-999,-999,Chesias legatella,Geometridae,Lepidoptera,-999,"Lepidoptera, moths and butterflies",invertebrate,-999,0.00918,-999,-999,-999,-999,0.132144995,-9.99E+02
2153,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Chrysocharis gemma,-999,Hymenoptera,invertebrate,parasitoid,-999,0.00201,-999,-999,-999,-999,Leucoptera spartifoliella,Lyonetiidae,Lepidoptera,-999,"Lepidoptera, moths and butterflies",invertebrate,-999,0.00225,-999,-999,-999,-999,0.74414141,-9.99E+02
2203,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Forficula auricularia,-999,Dermaptera,invertebrate,predacious,-999,0.0115,-999,-999,-999,-999,Leucoptera spartifoliella ,Lyonetiidae,Lepidoptera,-999,"Lepidoptera, moths and butterflies",invertebrate,-999,0.00225,-999,-999,-999,-999,71.83070754,-9.99E+02
2197,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Lyniphia triangularis,-999,"Araneae, spider",invertebrate,predacious,-999,0.0055,-999,-999,-999,-999,Leucoptera spartifoliella,Lyonetiidae,Lepidoptera,-999,"Lepidoptera, moths and butterflies",invertebrate,-999,0.00225,-999,-999,-999,-999,10.3999691,-9.99E+02
2193,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Meta segmentata,-999,"Araneae, spider",invertebrate,predacious,-999,0.0065,-999,-999,-999,-999,Leucoptera spartifoliella ,Lyonetiidae,Lepidoptera,-999,"Lepidoptera, moths and butterflies",invertebrate,-999,0.00225,-999,-999,-999,-999,16.11071433,-9.99E+02
2147,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Necremnus metalarus,-999,Hymenoptera,invertebrate,parasitoid,-999,0.00165,-999,-999,-999,-999,Leucoptera spartifoliella,Lyonetiidae,Lepidoptera,-999,"Lepidoptera, moths and butterflies",invertebrate,-999,0.00225,-999,-999,-999,-999,0.443700314,-9.99E+02
2190,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Philodromus aurelolus caespiticolis,-999,"Araneae, spider",invertebrate,predacious,-999,0.005,-999,-999,-999,-999,Leucoptera spartifoliella,Lyonetiidae,Lepidoptera,-999,"Lepidoptera, moths and butterflies",invertebrate,-999,0.00225,-999,-999,-999,-999,8.101831637,-9.99E+02
2146,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Pringalio soemias ,-999,Hymenoptera,invertebrate,parasitoid,-999,0.00203,-999,-999,-999,-999,Leucoptera spartifoliella,Lyonetiidae,Lepidoptera,-999,"Lepidoptera, moths and butterflies",invertebrate,-999,0.00225,-999,-999,-999,-999,0.763697593,-9.99E+02
2179,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Xysticus cristatus,-999,Aranea predator,invertebrate,predacious,-999,0.006,-999,-999,-999,-999,Leucoptera spartifoliella ,Lyonetiidae,Lepidoptera,-999,"Lepidoptera, moths and butterflies",invertebrate,-999,0.00225,-999,-999,-999,-999,13.06285417,-9.99E+02
2220,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Anthocoris sarothamni,-999,Hemiptera,invertebrate,predacious,-999,0.00365,-999,-999,-999,-999,Heterocordylus tibialis,Miridae,Hemiptera,-999,"Hemiptera, true bug",invertebrate,-999,0.00495,-999,-999,-999,-999,0.450133861,-9.99E+02
2216,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Araneus diadematus,-999,"Araneae, spider",invertebrate,predacious,-999,0.012,-999,-999,-999,-999,Heterocordylus tibialis,Miridae,Hemiptera,-999,"Hemiptera, true bug",invertebrate,-999,0.00495,-999,-999,-999,-999,10.17628458,-9.99E+02
2226,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Aystis baccarum,-999,"Acarina, mite",invertebrate,predacious,-999,0.00105,-999,-999,-999,-999,Heterocordylus tibialis,Miridae,Hemiptera,-999,"Hemiptera, true bug",invertebrate,-999,0.00495,-999,-999,-999,-999,0.017204828,-9.99E+02
2196,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Lyniphia triangularis,-999,"Araneae, spider",invertebrate,predacious,-999,0.0055,-999,-999,-999,-999,Heterocordylus tibialis ,Miridae,Hemiptera,-999,"Hemiptera, true bug",invertebrate,-999,0.00495,-999,-999,-999,-999,1.317906577,-9.99E+02
2178,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Xysticus cristatus,-999,Aranea predator,invertebrate,predacious,-999,0.0065,-999,-999,-999,-999,Heterocordylus tibialis,Miridae,Hemiptera,-999,"Hemiptera, true bug",invertebrate,-999,0.00495,-999,-999,-999,-999,2.041584563,-9.99E+02
2166,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Adalia bipunctata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.0045,-999,-999,-999,-999,Arytaina genistae,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,4.664595225,-9.99E+02
2167,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Adalia bipunctata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.0045,-999,-999,-999,-999,Arytaina spartii,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,4.664595225,-9.99E+02
2162,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Adalia decempunctata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.00425,-999,-999,-999,-999,Arytaina genistae,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,4.015837899,-9.99E+02
2163,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Adalia decempunctata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.00425,-999,-999,-999,-999,Arytaina spartii,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,4.015837899,-9.99E+02
2158,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Anatis ocellata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.0085,-999,-999,-999,-999,Arytaina genistae,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,24.6873664,-9.99E+02
2159,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Anatis ocellata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.0085,-999,-999,-999,-999,Arytaina spartii,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,24.6873664,-9.99E+02
2221,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Anthocoris sarothamni,-999,Hemiptera,invertebrate,predacious,-999,0.00365,-999,-999,-999,-999,Arytaina genistae,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,2.695283683,-9.99E+02
2222,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Anthocoris sarothamni,-999,Hemiptera,invertebrate,predacious,-999,0.00365,-999,-999,-999,-999,Arytaina spartii,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,2.695283683,-9.99E+02
2217,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Araneus diadematus,-999,"Araneae, spider",invertebrate,predacious,-999,0.012,-999,-999,-999,-999,Arytaina genistae,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,60.93292719,-9.99E+02
2218,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Araneus diadematus,-999,"Araneae, spider",invertebrate,predacious,-999,0.012,-999,-999,-999,-999,Arytaina spartii,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,60.93292719,-9.99E+02
2212,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Coccinella septempunctata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.0066,-999,-999,-999,-999,Arytaina genistae,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,12.72337386,-9.99E+02
2213,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Coccinella septempunctata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.0066,-999,-999,-999,-999,Arytaina spartii ,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,12.72337386,-9.99E+02
2210,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Evarcha arcuata,-999,"Araneae, spider",invertebrate,predacious,-999,0.006,-999,-999,-999,-999,Arytaina genistae,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,9.911821066,-9.99E+02
2211,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Evarcha arcuata,-999,"Araneae, spider",invertebrate,predacious,-999,0.006,-999,-999,-999,-999,Arytaina spartii ,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,9.911821066,-9.99E+02
2204,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Forficula auricularia,-999,Dermaptera,invertebrate,predacious,-999,0.0115,-999,-999,-999,-999,Arytaina genistae,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,54.50364146,-9.99E+02
2205,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Forficula auricularia,-999,Dermaptera,invertebrate,predacious,-999,0.0115,-999,-999,-999,-999,Arytaina spartii,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,54.50364146,-9.99E+02
2239,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Fringilla coelebs,-999,Bird,endotherm vertebrate,predacious,-999,0.1525,-999,-999,-999,-999,Arytaina genistae,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,31894.68485,-9.99E+02
2240,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Fringilla coelebs,-999,Bird,endotherm vertebrate,predacious,-999,0.1525,-999,-999,-999,-999,Arytaina spartii,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,31894.68485,-9.99E+02
2173,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Heterocordylus tibialis,-999,Hemiptera,invertebrate,predacious,-999,0.00495,-999,-999,-999,-999,Arytaina genistae,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,5.98773813,-9.99E+02
2174,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Heterocordylus tibialis,-999,Hemiptera,invertebrate,predacious,-999,0.00495,-999,-999,-999,-999,Arytaina spartii,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,5.98773813,-9.99E+02
2198,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Lyniphia triangularis,-999,"Araneae, spider",invertebrate,predacious,-999,0.0055,-999,-999,-999,-999,Arytaina genistae,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,7.891279462,-9.99E+02
2199,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Lyniphia triangularis,-999,"Araneae, spider",invertebrate,predacious,-999,0.0055,-999,-999,-999,-999,Arytaina spartii,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,7.891279462,-9.99E+02
2194,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Meta segmentata,-999,"Araneae, spider",invertebrate,predacious,-999,0.0065,-999,-999,-999,-999,Arytaina genistae,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,12.22447373,-9.99E+02
2195,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Meta segmentata,-999,"Araneae, spider",invertebrate,predacious,-999,0.0065,-999,-999,-999,-999,Arytaina spartii ,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,12.22447373,-9.99E+02
2235,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Parus caeruleus,-999,Bird,endotherm vertebrate,predacious,-999,0.115,-999,-999,-999,-999,Arytaina genistae,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,14718.7533,-9.99E+02
2236,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Parus caeruleus,-999,Bird,endotherm vertebrate,predacious,-999,0.115,-999,-999,-999,-999,Arytaina spartii,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,14718.7533,-9.99E+02
2191,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Philodromus aurelolus caespiticolis,-999,"Araneae, spider",invertebrate,predacious,-999,0.005,-999,-999,-999,-999,Arytaina genistae ,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,6.147500725,-9.99E+02
2192,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Philodromus aurelolus caespiticolis,-999,"Araneae, spider",invertebrate,predacious,-999,0.005,-999,-999,-999,-999,Arytaina spartii ,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,6.147500725,-9.99E+02
2187,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Pisaura mirabilis,-999,"Araneae, spider",invertebrate,predacious,-999,0.0135,-999,-999,-999,-999,Arytaina genistae,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,82.96055537,-9.99E+02
2188,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Pisaura mirabilis ,-999,"Araneae, spider",invertebrate,predacious,-999,0.0135,-999,-999,-999,-999,Arytaina spartii,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,82.96055537,-9.99E+02
2183,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Propylea quatuordecimpunctata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.004,-999,-999,-999,-999,Arytaina genistae,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,3.426055189,-9.99E+02
2184,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Propylea quatuordecimpunctata,-999,"Coleoptera, beetle",invertebrate,predacious,-999,0.004,-999,-999,-999,-999,Arytaina spartii ,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,3.426055189,-9.99E+02
2180,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Xysticus cristatus,-999,Aranea predator,invertebrate,predacious,-999,0.006,-999,-999,-999,-999,Arytaina genistae,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,9.911821066,-9.99E+02
2181,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Xysticus cristatus,-999,Aranea predator,invertebrate,predacious,-999,0.006,-999,-999,-999,-999,Arytaina spartii,Psyllidae,Hemiptera,-999,Homoptera,invertebrate,-999,0.0025,-999,-999,-999,-999,9.911821066,-9.99E+02
2145,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Aprostocetus tibialis,-999,Hymenoptera,invertebrate,parasitoid,-999,0.00181,-999,-999,-999,-999,Habrocytus sequester,Pteromalidae,Hymenoptera,-999,"Hymenoptera, wasp/bee",invertebrate,-999,0.00219,-999,-999,-999,-999,0.606951914,-9.99E+02
2144,Memmott et al. (2000),"Memmott, unpublished","Country: United Kingdom; UTM: 51.24'N, 0.34'W; Silwood Park, Berkshire",terrestrial,"Cytisis scoparius (Scotch broom) patch, source web on broom",field; gut/stomach analysis; rearing,measurement; published account,Mesopolobus mediterraneus,-999,Hymenoptera,invertebrate,parasitoid,-999,0.00158,-999,-999,-999,-999,Habrocytus sequester,Pteromalidae,Hymenoptera,-999,"Hymenoptera, wasp/bee",invertebrate,-999,0.00219,-999,-999,-999,-999,0.425126314,-9.99E+02