Query ID,Best ID,Search DB,Top %,Low %
ASV_301,No match,COI SPECIES DATABASE,,
ASV_302,No match,COI SPECIES DATABASE,,
ASV_303,Dactylosternum abdominale,COI SPECIES DATABASE,98.71,83.17
ASV_304,No match,COI SPECIES DATABASE,,
ASV_305,No match,COI SPECIES DATABASE,,
ASV_306,No match,COI SPECIES DATABASE,,
ASV_307,No match,COI SPECIES DATABASE,,
ASV_308,No match,COI SPECIES DATABASE,,
ASV_309,Smeringopus pallidus,COI SPECIES DATABASE,99.67,81.64
ASV_310,No match,COI SPECIES DATABASE,,
ASV_311,No match,COI SPECIES DATABASE,,
ASV_312,No match,COI SPECIES DATABASE,,
ASV_313,Smeringopus pallidus,COI SPECIES DATABASE,99.67,81.37
ASV_314,No match,COI SPECIES DATABASE,,
ASV_315,No match,COI SPECIES DATABASE,,
ASV_316,No match,COI SPECIES DATABASE,,
ASV_317,No match,COI SPECIES DATABASE,,
ASV_318,Mus musculus,COI SPECIES DATABASE,99.64,99.03
ASV_319,No match,COI SPECIES DATABASE,,
ASV_320,No match,COI SPECIES DATABASE,,
ASV_321,No match,COI SPECIES DATABASE,,
ASV_322,Neoscona theisi,COI SPECIES DATABASE,100,97.41
ASV_323,No match,COI SPECIES DATABASE,,
ASV_324,No match,COI SPECIES DATABASE,,
ASV_325,No match,COI SPECIES DATABASE,,
ASV_326,Selenothrips rubrocinctus,COI SPECIES DATABASE,100,77.25
ASV_327,No match,COI SPECIES DATABASE,,
ASV_328,No match,COI SPECIES DATABASE,,
ASV_329,No match,COI SPECIES DATABASE,,
ASV_330,Smeringopus pallidus,COI SPECIES DATABASE,100,81.7
ASV_331,Smeringopus pallidus,COI SPECIES DATABASE,99.68,80.95
ASV_332,Phisis holdhausi,COI SPECIES DATABASE,100,85.37
ASV_333,Ornebius novarae,COI SPECIES DATABASE,99.35,83.82
ASV_334,Heteropoda venatoria,COI SPECIES DATABASE,100,90.59
ASV_335,No match,COI SPECIES DATABASE,,
ASV_336,No match,COI SPECIES DATABASE,,
ASV_337,No match,COI SPECIES DATABASE,,
ASV_338,No match,COI SPECIES DATABASE,,
ASV_339,No match,COI SPECIES DATABASE,,
ASV_340,No match,COI SPECIES DATABASE,,
ASV_341,No match,COI SPECIES DATABASE,,
ASV_342,No match,COI SPECIES DATABASE,,
ASV_343,No match,COI SPECIES DATABASE,,
ASV_344,No match,COI SPECIES DATABASE,,
ASV_345,No match,COI SPECIES DATABASE,,
ASV_346,Mus musculus,COI SPECIES DATABASE,100,99.03
ASV_347,No match,COI SPECIES DATABASE,,
ASV_348,No match,COI SPECIES DATABASE,,
ASV_349,No match,COI SPECIES DATABASE,,
ASV_350,No match,COI SPECIES DATABASE,,
ASV_351,No match,COI SPECIES DATABASE,,
ASV_352,No match,COI SPECIES DATABASE,,
ASV_353,No match,COI SPECIES DATABASE,,
ASV_354,No match,COI SPECIES DATABASE,,
ASV_355,No match,COI SPECIES DATABASE,,
ASV_356,Homo sapiens,COI SPECIES DATABASE,100,100
ASV_357,No match,COI SPECIES DATABASE,,
ASV_358,No match,COI SPECIES DATABASE,,
ASV_359,Heteropoda venatoria,COI SPECIES DATABASE,100,90.78
ASV_360,No match,COI SPECIES DATABASE,,
ASV_361,Wolbachia sp. Tetraponera manangotra,COI SPECIES DATABASE,99.35,98.06
ASV_362,No match,COI SPECIES DATABASE,,
ASV_363,No match,COI SPECIES DATABASE,,
ASV_364,No match,COI SPECIES DATABASE,,
ASV_365,No match,COI SPECIES DATABASE,,
ASV_366,No match,COI SPECIES DATABASE,,
ASV_367,Scytodes longipes,COI SPECIES DATABASE,98.06,84.47
ASV_368,No match,COI SPECIES DATABASE,,
ASV_369,No match,COI SPECIES DATABASE,,
ASV_370,No match,COI SPECIES DATABASE,,
ASV_371,Erechthias simulans,COI SPECIES DATABASE,100,89.32
ASV_372,No match,COI SPECIES DATABASE,,
ASV_373,No match,COI SPECIES DATABASE,,
ASV_374,No match,COI SPECIES DATABASE,,
ASV_375,No match,COI SPECIES DATABASE,,
ASV_376,No match,COI SPECIES DATABASE,,
ASV_377,No match,COI SPECIES DATABASE,,
ASV_378,No match,COI SPECIES DATABASE,,
ASV_379,No match,COI SPECIES DATABASE,,
ASV_380,No match,COI SPECIES DATABASE,,
ASV_381,No match,COI SPECIES DATABASE,,
ASV_382,No match,COI SPECIES DATABASE,,
ASV_383,No match,COI SPECIES DATABASE,,
ASV_384,No match,COI SPECIES DATABASE,,
ASV_385,No match,COI SPECIES DATABASE,,
ASV_386,No match,COI SPECIES DATABASE,,
ASV_387,No match,COI SPECIES DATABASE,,
ASV_388,No match,COI SPECIES DATABASE,,
ASV_389,No match,COI SPECIES DATABASE,,
ASV_390,No match,COI SPECIES DATABASE,,
ASV_391,No match,COI SPECIES DATABASE,,
ASV_392,Platnickina mneon,COI SPECIES DATABASE,99.68,89.64
ASV_393,No match,COI SPECIES DATABASE,,
ASV_394,No match,COI SPECIES DATABASE,,
ASV_395,No match,COI SPECIES DATABASE,,
ASV_396,No match,COI SPECIES DATABASE,,
ASV_397,No match,COI SPECIES DATABASE,,
ASV_398,No match,COI SPECIES DATABASE,,
ASV_399,No match,COI SPECIES DATABASE,,
ASV_400,Limonia perkinsi,COI SPECIES DATABASE,100,89.97