"","ASV","Domain","Phylum","Class","Order","Family","ID_level"
"1","ASV_936","Eukaryota","Arthropoda","Arachnida","Scorpiones","Buthidae","Family"
"2","ASV_270","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"3","ASV_1438","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"4","ASV_926","Eukaryota","Arthropoda","Arachnida","Scorpiones","Buthidae","Family"
"5","ASV_1228","Eukaryota","Arthropoda","Insecta","Diptera","Ceratopogonidae","Family"
"6","ASV_1357","Eukaryota","Arthropoda","Insecta","Diptera","Ceratopogonidae","Family"
"7","ASV_1023","Eukaryota","Arthropoda","Insecta","Coleoptera","Elateridae","Family"
"8","ASV_39","Eukaryota","Arthropoda","Insecta","Coleoptera","Elateridae","Family"
"9","ASV_442","Eukaryota","Arthropoda","Insecta","Coleoptera","Elateridae","Family"
"10","ASV_458","Eukaryota","Arthropoda","Insecta","Coleoptera","Elateridae","Family"
"11","ASV_1578","Eukaryota","Arthropoda","Insecta","Diptera","Culicidae","Family"
"12","ASV_558","Eukaryota","Arthropoda","Insecta","Diptera","Culicidae","Family"
"13","ASV_753","Eukaryota","Arthropoda","Insecta","Diptera","Ceratopogonidae","Family"
"14","ASV_1164","Eukaryota","Arthropoda","Arachnida","Araneae","Salticidae","Family"
"15","ASV_303","Eukaryota","Arthropoda","Insecta","Coleoptera","Hydrophilidae","Family"
"16","ASV_1636","Eukaryota","Arthropoda","Arachnida","Sarcoptiformes","Pyroglyphidae","Family"
"17","ASV_997","Eukaryota","Arthropoda","Arachnida","Sarcoptiformes","Pyroglyphidae","Family"
"18","ASV_1423","Eukaryota","Arthropoda","Arachnida","Sarcoptiformes","Pyroglyphidae","Family"
"19","ASV_1563","Eukaryota","Arthropoda","Insecta","Diptera","Cecidomyiidae","Family"
"20","ASV_181","Eukaryota","Arthropoda","Insecta","Blattodea","Blaberidae","Family"
"21","ASV_441","Eukaryota","Arthropoda","Insecta","Diptera","Lonchaeidae","Family"
"22","ASV_663","Eukaryota","Arthropoda","Insecta","Psocoptera","Lepidopsocidae","Family"
"23","ASV_66","Eukaryota","Arthropoda","Insecta","Psocoptera","Ectopsocidae","Family"
"24","ASV_701","Eukaryota","Arthropoda","Insecta","Psocoptera","Ectopsocidae","Family"
"25","ASV_469","Eukaryota","Arthropoda","Insecta","Psocoptera","Ectopsocidae","Family"
"26","ASV_1072","Eukaryota","Nematoda","Chromadorea","Rhabditida","Oxyuridae","Family"
"27","ASV_1240","Eukaryota","Arthropoda","Insecta","Hymenoptera","Evaniidae","Family"
"28","ASV_279","Eukaryota","Arthropoda","Insecta","Hymenoptera","Evaniidae","Family"
"29","ASV_946","Eukaryota","Arthropoda","Insecta","Hymenoptera","Evaniidae","Family"
"30","ASV_1338","Eukaryota","Arthropoda","Arachnida","Araneae","Salticidae","Family"
"31","ASV_94","Eukaryota","Arthropoda","Arachnida","Araneae","Salticidae","Family"
"32","ASV_990","Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Family"
"33","ASV_166","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Family"
"34","ASV_336","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Family"
"35","ASV_356","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Family"
"36","ASV_506","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Family"
"37","ASV_514","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Family"
"38","ASV_517","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Family"
"39","ASV_533","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Family"
"40","ASV_611","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Family"
"41","ASV_728","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Family"
"42","ASV_755","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Family"
"43","ASV_885","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Family"
"44","ASV_996","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Family"
"45","ASV_566","Eukaryota","Arthropoda","Insecta","Coleoptera","Curculionidae","Family"
"46","ASV_100","Eukaryota","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Family"
"47","ASV_1497","Eukaryota","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Family"
"48","ASV_23","Eukaryota","Arthropoda","Arachnida","Araneae","Theridiidae","Family"
"49","ASV_392","Eukaryota","Arthropoda","Arachnida","Araneae","Theridiidae","Family"
"50","ASV_501","Eukaryota","Arthropoda","Arachnida","Araneae","Theridiidae","Family"
"51","ASV_1683","Eukaryota","Arthropoda","Insecta","Lepidoptera","","Order"
"52","ASV_1124","Eukaryota","Arthropoda","Insecta","Lepidoptera","Tineidae","Family"
"53","ASV_370","Eukaryota","Arthropoda","Insecta","Lepidoptera","Tineidae","Family"
"54","ASV_543","Eukaryota","Arthropoda","Insecta","Lepidoptera","Tineidae","Family"
"55","ASV_448","Eukaryota","Arthropoda","Insecta","Lepidoptera","Agonoxenidae","Family"
"56","ASV_83","Eukaryota","Arthropoda","Insecta","Lepidoptera","Agonoxenidae","Family"
"57","ASV_1056","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"58","ASV_781","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"59","ASV_882","Eukaryota","Arthropoda","Insecta","Psocoptera","Liposcelididae","Family"
"60","ASV_1387","Eukaryota","Arthropoda","Insecta","Psocoptera","Liposcelididae","Family"
"61","ASV_1117","Eukaryota","Arthropoda","Malacostraca","Isopoda","Philosciidae","Family"
"62","ASV_101","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"63","ASV_112","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"64","ASV_128","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"65","ASV_146","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"66","ASV_152","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"67","ASV_158","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"68","ASV_159","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"69","ASV_169","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"70","ASV_17","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"71","ASV_172","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"72","ASV_1737","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"73","ASV_177","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"74","ASV_184","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"75","ASV_187","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"76","ASV_194","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"77","ASV_203","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"78","ASV_209","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"79","ASV_221","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"80","ASV_222","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"81","ASV_226","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"82","ASV_248","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"83","ASV_254","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"84","ASV_261","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"85","ASV_262","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"86","ASV_301","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"87","ASV_312","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"88","ASV_314","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"89","ASV_342","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"90","ASV_378","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"91","ASV_388","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"92","ASV_422","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"93","ASV_471","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"94","ASV_489","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"95","ASV_499","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"96","ASV_502","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"97","ASV_510","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"98","ASV_519","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"99","ASV_532","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"100","ASV_651","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"101","ASV_70","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"102","ASV_73","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"103","ASV_735","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"104","ASV_773","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"105","ASV_79","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"106","ASV_790","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"107","ASV_82","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"108","ASV_853","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"109","ASV_867","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"110","ASV_880","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"111","ASV_89","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"112","ASV_948","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"113","ASV_352","Eukaryota","Chordata","Mammalia","Rodentia","Muridae","Family"
"114","ASV_537","Eukaryota","Chordata","Mammalia","Rodentia","Muridae","Family"
"115","ASV_572","Eukaryota","Chordata","Mammalia","Rodentia","Muridae","Family"
"116","ASV_1084","Eukaryota","Arthropoda","Insecta","Psocoptera","Myopsocidae","Family"
"117","ASV_102","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"118","ASV_1554","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"119","ASV_1558","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"120","ASV_1560","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"121","ASV_1665","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"122","ASV_206","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"123","ASV_21","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"124","ASV_258","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"125","ASV_29","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"126","ASV_3","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"127","ASV_322","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"128","ASV_436","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"129","ASV_485","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"130","ASV_692","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"131","ASV_710","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"132","ASV_78","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"133","ASV_9","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"134","ASV_888","Eukaryota","Arthropoda","Insecta","Coleoptera","Coccinellidae","Family"
"135","ASV_294","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"136","ASV_677","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"137","ASV_1390","Eukaryota","Arthropoda","Arachnida","Araneae","Sparassidae","Family"
"138","ASV_1307","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Family"
"139","ASV_1132","Eukaryota","Arthropoda","Arachnida","Araneae","Oonopidae","Family"
"140","ASV_291","Eukaryota","Arthropoda","Arachnida","Araneae","Oonopidae","Family"
"141","ASV_1032","Eukaryota","Arthropoda","Insecta","Orthoptera","Mogoplistidae","Family"
"142","ASV_333","Eukaryota","Arthropoda","Insecta","Orthoptera","Mogoplistidae","Family"
"143","ASV_87","Eukaryota","Arthropoda","Insecta","Orthoptera","Mogoplistidae","Family"
"144","ASV_1247","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Oryidae","Family"
"145","ASV_1135","Eukaryota","Arthropoda","Arachnida","Araneae","Oxyopidae","Family"
"146","ASV_1178","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"147","ASV_1185","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"148","ASV_1290","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"149","ASV_1358","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"150","ASV_1562","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"151","ASV_1735","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"152","ASV_1736","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"153","ASV_19","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"154","ASV_24","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"155","ASV_495","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"156","ASV_5","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"157","ASV_795","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"158","ASV_803","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"159","ASV_1018","Eukaryota","Arthropoda","Branchiopoda","Anostraca","Branchipodidae","Family"
"160","ASV_782","Eukaryota","Arthropoda","Branchiopoda","Anostraca","Branchipodidae","Family"
"161","ASV_973","Eukaryota","Arthropoda","Branchiopoda","Anostraca","Branchipodidae","Family"
"162","ASV_455","Eukaryota","Arthropoda","Insecta","Coleoptera","Staphylinidae","Family"
"163","ASV_1664","Eukaryota","Arthropoda","Insecta","Lepidoptera","Crambidae","Family"
"164","ASV_504","Eukaryota","Arthropoda","Insecta","Lepidoptera","Crambidae","Family"
"165","ASV_1187","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"166","ASV_1232","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"167","ASV_1373","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"168","ASV_1684","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"169","ASV_1706","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"170","ASV_447","Eukaryota","Arthropoda","Insecta","Hemiptera","Coccidae","Family"
"171","ASV_1046","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Family"
"172","ASV_180","Eukaryota","Arthropoda","Insecta","Diptera","Platystomatidae","Family"
"173","ASV_243","Eukaryota","Arthropoda","Insecta","Diptera","Platystomatidae","Family"
"174","ASV_26","Eukaryota","Arthropoda","Insecta","Diptera","Platystomatidae","Family"
"175","ASV_486","Eukaryota","Arthropoda","Insecta","Diptera","Platystomatidae","Family"
"176","ASV_562","Eukaryota","Arthropoda","Insecta","Diptera","Platystomatidae","Family"
"177","ASV_569","Eukaryota","Arthropoda","Insecta","Diptera","Platystomatidae","Family"
"178","ASV_855","Eukaryota","Arthropoda","Insecta","Diptera","Platystomatidae","Family"
"179","ASV_1184","Eukaryota","Arthropoda","Insecta","Diptera","Sciaridae","Family"
"180","ASV_1442","Eukaryota","Arthropoda","Insecta","Diptera","Sciaridae","Family"
"181","ASV_1096","Eukaryota","Arthropoda","Insecta","Diptera","Sciaridae","Family"
"182","ASV_326","Eukaryota","Arthropoda","Insecta","Thysanoptera","Thripidae","Family"
"183","ASV_115","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"184","ASV_13","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"185","ASV_1630","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"186","ASV_1685","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"187","ASV_251","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"188","ASV_309","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"189","ASV_313","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"190","ASV_330","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"191","ASV_331","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"192","ASV_381","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"193","ASV_615","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"194","ASV_726","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"195","ASV_8","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"196","ASV_95","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"197","ASV_1598","Eukaryota","Arthropoda","Collembola","Symphypleona","Sminthuridae","Family"
"198","ASV_133","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Himantariidae","Family"
"199","ASV_538","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Himantariidae","Family"
"200","ASV_681","Eukaryota","Arthropoda","Insecta","Diptera","Limoniidae","Family"
"201","ASV_839","Eukaryota","Chordata","Aves","Pelecaniformes","Sulidae","Family"
"202","ASV_1076","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
