,taxon_Family,trophic_group,predatory_omnivory,broad_tp
114,Blaberidae,detritovore,,basal
117,Blattidae,detritovore,,basal
164,Calliphoridae,detritovore,,basal
90,Catopidae,detritovore,,basal
122,Ectobiidae,detritovore,,basal
17,Hydrophilidae,detritovore,,basal
129,Hydrophilidae,detritovore,,basal
29,Leiodidae,detritovore,,basal
55,Muscidae,detritovore,,basal
158,Philosciidae,detritovore,,basal
150,Psychodidae,detritovore,,basal
154,Pyroglyphidae,detritovore,,basal
108,Acrididae,herbivore,,basal
115,Agonoxenidae,herbivore,,basal
138,Agromyzidae,herbivore,,basal
152,Aleyrodidae,herbivore,,basal
83,Aphididae,herbivore,,basal
25,Bolboceratidae,herbivore,,basal
84,Chrysomelidae,herbivore,,basal
136,Coccidae,herbivore,,basal
139,Crambidae,herbivore,,basal
85,Curculionidae,herbivore,,basal
143,Curculionidae,herbivore,,basal
109,Elateridae,herbivore,,basal
130,Erebidae,herbivore,,basal
28,Kateretidae,herbivore,,basal
81,Largidae,herbivore,,basal
142,Lepidopsocidae,herbivore,,basal
148,Liposcelididae,herbivore,,basal
86,Lyonetiidae,herbivore,,basal
43,Melyridae,herbivore,,basal
116,Mogoplistidae,herbivore,,basal
69,Monotomidae,herbivore,,basal
157,Myopsocidae,herbivore,,basal
168,Pseudococcidae,herbivore,,basal
87,Psyllidae,herbivore,,basal
2,Silphidae,herbivore,,basal
53,Syrphidae,herbivore,,basal
131,Thripidae,herbivore,,basal
132,Tineidae,herbivore,,basal
77,Acaridae,omnivore,no,basal
146,Acaridae,omnivore,no,basal
89,Bourletiellidae,omnivore,no,basal
160,Bourletiellidae,omnivore,no,basal
153,Branchipodidae,omnivore,no,basal
113,Ectopsocidae,omnivore,no,basal
91,Entomobryidae,omnivore,no,basal
119,Entomobryidae,omnivore,no,basal
92,Isotomidae,omnivore,no,basal
120,Isotomidae,omnivore,no,basal
135,Lonchaeidae,omnivore,no,basal
98,Neanuridae,omnivore,no,basal
107,Platystomatidae,omnivore,no,basal
96,Ptilidae,omnivore,no,basal
70,Sciaridae,omnivore,no,basal
123,Sciaridae,omnivore,no,basal
88,Sminthuridae,omnivore,no,basal
167,Sminthuridae,omnivore,no,basal
134,Stratiomyidae,omnivore,no,basal
144,Suidasiidae,omnivore,no,basal
24,Aeolothripidae,omnivore,yes,omnivorous
111,Anisolabididae,omnivore,yes,omnivorous
15,Anthicidae,omnivore,yes,omnivorous
8,Carabidae,omnivore,yes,omnivorous
63,Cecidomyiidae,omnivore,yes,omnivorous
161,Cecidomyiidae,omnivore,yes,omnivorous
145,Ceratopogonidae,omnivore,yes,omnivorous
75,Chelydridae,omnivore,yes,omnivorous
125,Chloropidae,omnivore,yes,omnivorous
47,Cleridae,omnivore,yes,omnivorous
44,Elateridae,omnivore,yes,omnivorous
13,Forficulidae,omnivore,yes,omnivorous
1,Formicidae,omnivore,yes,omnivorous
112,Formicidae,omnivore,yes,omnivorous
79,Gryllidae,omnivore,yes,omnivorous
3,Histeridae,omnivore,yes,omnivorous
124,Hominidae,omnivore,yes,omnivorous
93,Lampyridae,omnivore,yes,omnivorous
133,Limoniidae,omnivore,yes,omnivorous
37,Miridae,omnivore,yes,omnivorous
80,Pentatomidae,omnivore,yes,omnivorous
57,Phoridae,omnivore,yes,omnivorous
165,Phoridae,omnivore,yes,omnivorous
101,Tettigoniidae,omnivore,yes,omnivorous
71,Xylophagidae,omnivore,yes,omnivorous
110,Muridae,omnivore,yes,omnivorous
156,Oxyuridae,parasite,,
45,Braconidae,parasitoid,,predatory
82,Chalcididae,parasitoid,,predatory
50,Crabronidae,parasitoid,,predatory
141,Culicidae,parasitoid,,predatory
166,Encyrtidae,parasitoid,,predatory
163,Eulophidae,parasitoid,,predatory
51,Pompillidae,parasitoid,,predatory
49,Tachinidae,parasitoid,,predatory
18,Agelenidae,predator,,predatory
99,Amaurobiidae,predator,,predatory
42,Anthocoridae,predator,,predatory
19,Araneidae,predator,,predatory
102,Araneidae,predator,,predatory
4,Araneomorphae,predator,,predatory
48,Asillidae,predator,,predatory
151,Buthidae,predator,,predatory
16,Cantharidae,predator,,predatory
73,Cheliferidae,predator,,predatory
66,Chernetidae,predator,,predatory
59,Chthoniidae,predator,,predatory
100,Clubionidae,predator,,predatory
52,Coccinelidae,predator,,predatory
39,Coccinellidae,predator,,predatory
149,Coccinellidae,predator,,predatory
65,Cryptopidae,predator,,predatory
20,Dictynidae,predator,,predatory
62,Digamasellidae,predator,,predatory
56,Dolichopodidae,predator,,predatory
140,Dolichopodidae,predator,,predatory
74,Dytiscidae,predator,,predatory
127,Evaniidae,predator,,predatory
9,Geophilidae,predator,,predatory
26,Gnaphosidae,predator,,predatory
32,Hahniidae,predator,,predatory
10,Henicopoidae,predator,,predatory
121,Himantariidae,predator,,predatory
103,Libellulidae,predator,,predatory
58,Linotaeniidae,predator,,predatory
21,Linyphiidae,predator,,predatory
94,Liodidae,predator,,predatory
11,Lithobiidae,predator,,predatory
22,Lycosidae,predator,,predatory
106,Mecistocephalidae,predator,,predatory
61,Megisthanidae,predator,,predatory
34,Miturgidae,predator,,predatory
14,Nabidae,predator,,predatory
38,Nemastomatidae,predator,,predatory
128,Oonopidae,predator,,predatory
162,Oryidae,predator,,predatory
159,Oxyopidae,predator,,predatory
60,Parasitidae,predator,,predatory
30,Phalangiidae,predator,,predatory
36,Philodromidae,predator,,predatory
5,Pholcidae,predator,,predatory
104,Pholcidae,predator,,predatory
27,Phrurolithidae,predator,,predatory
33,Pisauridae,predator,,predatory
95,Pselaphidae,predator,,predatory
72,Pseudoscorionidae,predator,,predatory
46,Reduviidae,predator,,predatory
155,Salmonidae,predator,,predatory
23,Salticidae,predator,,predatory
118,Salticidae,predator,,predatory
41,Sclerosomatidae,predator,,predatory
64,Scolopendridae,predator,,predatory
97,Scydmanidae,predator,,predatory
126,Scytodidae,predator,,predatory
169,Sparassidae,predator,,predatory
54,Sphecidae,predator,,predatory
6,Staphylinidae,predator,,predatory
137,Staphylinidae,predator,,predatory
147,Sulidae,predator,,predatory
35,Tetragnathidae,predator,,predatory
31,Theridiidae,predator,,predatory
105,Theridiidae,predator,,predatory
12,Thomisidae,predator,,predatory
68,Trogossitidae,predator,,predatory
40,Trogulidae,predator,,predatory
67,Trombidiidae,predator,,predatory
76,Uropodidae,predator,,predatory
78,NA,,,
7,,,,